method,corruption,severity,accuracy,mean_entropy,update_ratio
eg_mix_sample,brightness,2,0.9039,0.14296644926071167,0.4540669023990631
disagree_aware_mix,brightness,2,0.9042,0.17632150650024414,0.8194442391395569
probe_commit_tent,brightness,2,0.9009,0.15904982388019562,0.0
probe_commit_tent_loose,brightness,2,0.9009,0.15904982388019562,0.0
source_mix_tent_075,brightness,2,0.9,0.181648388504982,1.0
source_only,brightness,3,0.8933,0.16953223943710327,0.0
bn_adapt,brightness,3,0.8863,0.20971611142158508,1.0
tent,brightness,3,0.887,0.20127156376838684,1.0
ug_tent,brightness,3,0.8872,0.20181408524513245,0.8986
eg_mix_batch,brightness,3,0.9001,0.17677997052669525,0.4405028820037842
eg_mix_sample,brightness,3,0.9001,0.14690159261226654,0.45953401923179626
disagree_aware_mix,brightness,3,0.8999,0.1795475333929062,0.8154906034469604
probe_commit_tent,brightness,3,0.8933,0.16953223943710327,0.0
probe_commit_tent_loose,brightness,3,0.8931,0.1694885790348053,0.012658227848101266
source_mix_tent_075,brightness,3,0.8952,0.18740706145763397,1.0
source_only,brightness,4,0.8825,0.18187472224235535,0.0
bn_adapt,brightness,4,0.8793,0.2152990698814392,1.0
tent,brightness,4,0.8807,0.2065017819404602,1.0
ug_tent,brightness,4,0.8807,0.20695239305496216,0.8957
eg_mix_batch,brightness,4,0.8923,0.1865820735692978,0.44809988141059875
eg_mix_sample,brightness,4,0.8932,0.15226292610168457,0.4653680622577667
disagree_aware_mix,brightness,4,0.8926,0.18393640220165253,0.8107980489730835
probe_commit_tent,brightness,4,0.8825,0.18187472224235535,0.0
probe_commit_tent_loose,brightness,4,0.8824,0.18166743218898773,0.012658227848101266
source_mix_tent_075,brightness,4,0.891,0.19480648636817932,1.0
source_only,brightness,5,0.8527,0.21748940646648407,0.0
bn_adapt,brightness,5,0.867,0.23295024037361145,1.0
tent,brightness,5,0.8683,0.2238348126411438,1.0
ug_tent,brightness,5,0.868,0.22415290772914886,0.8842
eg_mix_batch,brightness,5,0.8757,0.2131020575761795,0.4685688614845276
eg_mix_sample,brightness,5,0.8746,0.165851429104805,0.48046907782554626
disagree_aware_mix,brightness,5,0.8744,0.1982683539390564,0.8026739358901978
probe_commit_tent,brightness,5,0.8536,0.21624335646629333,0.0379746835443038
probe_commit_tent_loose,brightness,5,0.8567,0.2132541537284851,0.2911392405063291
source_mix_tent_075,brightness,5,0.8755,0.21602720022201538,1.0
source_only,fog,1,0.905,0.15596765279769897,0.0
bn_adapt,fog,1,0.893,0.20722822844982147,1.0
tent,fog,1,0.894,0.19902046024799347,1.0
ug_tent,fog,1,0.8937,0.1996326446533203,0.8975
eg_mix_batch,fog,1,0.9066,0.16669721901416779,0.4274839460849762
eg_mix_sample,fog,1,0.9065,0.14070716500282288,0.4511564373970032
disagree_aware_mix,fog,1,0.9066,0.17623935639858246,0.8181743025779724
probe_commit_tent,fog,1,0.905,0.15596765279769897,0.0
probe_commit_tent_loose,fog,1,0.9053,0.1558152288198471,0.012658227848101266
source_mix_tent_075,fog,1,0.9022,0.18221408128738403,1.0
source_only,fog,2,0.8845,0.1819707751274109,0.0
bn_adapt,fog,2,0.8849,0.21566815674304962,1.0
tent,fog,2,0.8867,0.2071211189031601,1.0
ug_tent,fog,2,0.8869,0.20768225193023682,0.8907
eg_mix_batch,fog,2,0.8974,0.18230339884757996,0.4462026357650757
eg_mix_sample,fog,2,0.8983,0.1450394093990326,0.46760430932044983
disagree_aware_mix,fog,2,0.8987,0.17999932169914246,0.8121136426925659
probe_commit_tent,fog,2,0.8848,0.1816350370645523,0.012658227848101266
probe_commit_tent_loose,fog,2,0.8854,0.1808091253042221,0.12658227848101267
source_mix_tent_075,fog,2,0.896,0.192495658993721,1.0
source_only,fog,3,0.858,0.2214026153087616,0.0
bn_adapt,fog,3,0.866,0.23206579685211182,1.0
tent,fog,3,0.8673,0.2226194590330124,1.0
ug_tent,fog,3,0.8672,0.22316426038742065,0.8845
eg_mix_batch,fog,3,0.8813,0.20999696850776672,0.47195619344711304
eg_mix_sample,fog,3,0.8822,0.15993264317512512,0.4853954017162323
disagree_aware_mix,fog,3,0.882,0.19239719212055206,0.8011091351509094
probe_commit_tent,fog,3,0.8629,0.21703210473060608,0.13924050632911392
probe_commit_tent_loose,fog,3,0.8655,0.21351982653141022,0.4177215189873418
source_mix_tent_075,fog,3,0.8798,0.2141060084104538,1.0
source_only,fog,4,0.8113,0.2856738865375519,0.0
bn_adapt,fog,4,0.8439,0.25631654262542725,1.0
tent,fog,4,0.8468,0.2464601844549179,1.0
ug_tent,fog,4,0.8471,0.24706116318702698,0.8729
eg_mix_batch,fog,4,0.8597,0.24973510205745697,0.5171963572502136
eg_mix_sample,fog,4,0.8602,0.1828330010175705,0.513681173324585
disagree_aware_mix,fog,4,0.8598,0.21473579108715057,0.7927504777908325
probe_commit_tent,fog,4,0.8221,0.26762786507606506,0.3291139240506329
probe_commit_tent_loose,fog,4,0.8452,0.24612338840961456,0.9240506329113924
source_mix_tent_075,fog,4,0.8586,0.2459976077079773,1.0
source_only,fog,5,0.6321,0.47101113200187683,0.0
bn_adapt,fog,5,0.7705,0.33432549238204956,1.0
tent,fog,5,0.7743,0.32297611236572266,1.0
ug_tent,fog,5,0.7736,0.3238617777824402,0.8224
eg_mix_batch,fog,5,0.7788,0.35934847593307495,0.6349359154701233
eg_mix_sample,fog,5,0.7719,0.25560083985328674,0.5752976536750793
disagree_aware_mix,fog,5,0.7716,0.2846851944923401,0.7623045444488525
probe_commit_tent,fog,5,0.6342,0.46869033575057983,0.02531645569620253
probe_commit_tent_loose,fog,5,0.7446,0.3503754734992981,0.7974683544303798
source_mix_tent_075,fog,5,0.7814,0.34710320830345154,1.0
